player_name,player_dob,player_height,player_role,player_batstyle,player_bowlingstyle,player_bat_test_rank,player_bat_odi_rank,player_bat_t20_rank,player_bowl_test_rank,player_bowl_odi_rank,player_bowl_t20_rank,player_career,player_test_matches,player_test_innings,player_test_notout,player_test_runs,player_test_highestscore,player_test_batavg,player_test_ballsfaced,player_test_strikerate,player_test_100,player_test_200,player_test_50,player_test_4s,player_test_6s,player_ODI_matches,player_ODI_innings,player_ODI_notout,player_ODI_runs,player_ODI_highestscore,player_ODI_batavg,player_ODI_ballsfaced,player_ODI_strikerate,player_ODI_100,player_ODI_200,player_ODI_50,player_ODI_4s,player_ODI_6s,player_T20_matches,player_T20_innings,player_T20_notout,player_T20_runs,player_T20_highestscore,player_T20_batavg,player_T20_ballsfaced,player_T20_strikerate,player_T20_100,player_T20_200,player_T20_50,player_T20_4s,player_T20_6s,player_IPL_matches,player_IPL_innings,player_IPL_notout,player_IPL_runs,player_IPL_highestscore,player_IPL_batavg,player_IPL_ballsfaced,player_IPL_strikerate,player_IPL_100,player_IPL_200,player_IPL_50,player_IPL_4s,player_IPL_6s,player_test_balls,player_test_wkts,player_test_bestbowlinginn,player_test_bestbowlingmatch,player_test_economy,player_test_avg,player_test_stkrate,player_test_5wkts,player_test_10wkts,player_ODI_balls,player_ODI_wkts,player_ODI_bestbowlinginn,player_ODI_bestbowlingmatch,player_ODI_economy,player_ODI_avg,player_ODI_stkrate,player_ODI_5wkts,player_ODI_10wkts,player_T20_balls,player_T20_wkts,player_T20_bestbowlinginn,player_T20_bestbowlingmatch,player_T20_economy,player_T20_avg,player_T20_stkrate,player_T20_5wkts,player_T20_10wkts,player_IPL_balls,player_IPL_wkts,player_IPL_bestbowlinginn,player_IPL_bestbowlingmatch,player_IPL_economy,player_IPL_avg,player_IPL_stkrate,player_IPL_5wkts,player_IPL_10wkts
Tabraiz Shamsi," Feb 18, 1990 (30 years) ", -- , Bowler , Right Handed Bat , Left-arm chinaman , -- , -- , -- , -- , 53 , 5 ," South Africa, Titans, St Kitts and Nevis Patriots, South Africa A, Royal Challengers Bangalore, Northamptonshire, Stellenbosch Kings, Warriors, Paarl Rocks, Edinburgh Rocks, Hampshire, Jamaica Tallawahs ",2,4,3,278,18,20.0,48,41.67,0,0,0,2,0,22,21,2,993,0,0.0,2,0.0,0,0,0,0,0,22,22,4,596,2,4.0,13,30.77,0,0,0,0,0,4,4,-,147,-,-,-,-,-,-,-,-,-,483,6,3/91,4/128,3.45,46.33,80.5,0,0,1119,26,4/33,4/33,5.32,38.19,43.04,0,0,480,17,2/16,2/16,7.45,35.06,28.24,0,0,96,3,1/21,1/21,9.19,49.0,32.0,0,0
Beuran Hendricks," Jun 08, 1990 (30 years) ", -- , Bowler , Left Handed Bat , Left-arm fast-medium , -- , -- , -- , 72 , -- , 65 ," South Africa, South Africa A, South African Invitation XI, Cape Cobras, Kings XI Punjab, Lions, Bloem City Blazers, Jozi Stars, Mumbai Indians, St Lucia Zouks, Nelson Mandela Bay Giants ",1,2,1,175,5,9.0,18,50.0,0,0,0,1,0,7,5,1,211,3,5.0,14,35.71,0,0,0,0,0,13,13,1,395,12,6.0,22,81.82,0,0,0,0,1,7,7,2,235,1,1.0,3,33.33,0,0,0,0,0,231,6,5/64,6/175,4.55,29.17,38.5,1,0,234,5,3/59,3/59,5.41,42.2,46.8,0,0,265,20,4/14,4/14,8.94,19.75,13.25,0,0,150,9,3/36,3/36,9.4,26.11,16.67,0,0
Martin Guptill," Sep 30, 1986 (33 years) ", -- , Batsman , Right Handed Bat , Right-arm offbreak , -- , 15 , 12 , -- , -- , -- ," New Zealand, New Zealand U19, Derbyshire, Auckland, Sydney Thunder, Guyana Amazon Warriors, St Kitts and Nevis Patriots, Mumbai Indians, Lancashire, Auckland, Kings XI Punjab, New Zealand A, New Zealand XI, Barbados Tridents, Worcestershire, Sunrisers Hyderabad, Edinburgh Rocks ",47,18,1,298,189,29.39,5548,46.61,3,0,17,326,23,183,12,18,98,237,42.24,7824,87.46,16,1,37,695,176,88,1,7,11,105,32.51,1884,134.61,2,0,15,226,119,13,-,1,-,50,22.5,196,137.76,0,0,1,24,15,428,8,3/11,3/11,4.18,37.25,53.5,0,0,109,4,2/6,2/6,5.39,24.5,27.25,0,0,6,0,0/11,0/11,11.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-
Ross Taylor," Mar 08, 1984 (36 years) ", -- , Batsman , Right Handed Bat , Right-arm offbreak , 15 , 4 , 42 , -- , -- , -- ," New Zealand, New Zealand U19, Royal Challengers Bangalore, Durham, Rajasthan Royals, Delhi Capitals, Pune Warriors, Trinidad and Tobago, Trinbago Knight Riders, St Lucia Zouks, Central Districts, Sussex, New Zealand A, New Zealand XI, Nottinghamshire, Jamaica Tallawahs, Middlesex, World XI, Guyana Amazon Warriors ",101,7,19,48,290,45.53,12062,60.01,19,3,33,879,52,232,6,39,35,181,48.41,10274,83.4,21,0,51,710,146,100,-,18,-,63,25.8,1556,122.69,0,0,7,122,71,55,2,14,24,81,25.43,822,123.72,0,0,3,66,46,96,2,2/4,2/4,3.0,24.0,48.0,0,0,42,0,0/0,0/0,5.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,12,0,0/11,0/11,12.0,0.0,0.0,0,0
Kane Williamson," Aug 08, 1990 (29 years) ", -- , Batsman , Right Handed Bat , Right-arm offbreak , 5 , 9 , 16 , 85 , -- , -- ," New Zealand, Gloucestershire, Yorkshire, Northern Knights, Sunrisers Hyderabad, New Zealand A, Barbados Tridents, Edmonton Royals ",80,63,13,1178,242,50.99,12543,51.63,21,2,32,706,14,151,65,14,1310,148,47.49,7551,81.76,13,0,39,564,49,60,12,7,164,95,32.65,1332,125.0,0,0,11,170,36,41,1,7,7,89,38.29,964,135.06,0,0,12,110,44,2103,29,4/44,4/44,3.36,40.62,72.52,0,0,1467,37,4/22,4/22,5.36,35.41,39.65,0,0,118,6,2/16,2/16,8.34,27.33,19.67,0,0,6,0,0/7,0/7,7.0,0.0,0.0,0,0
James Neesham," Sep 17, 1990 (29 years) ", -- , Batting Allrounder , Left Handed Bat , Right-arm medium , -- , 67 , -- , -- , 88 , -- ," New Zealand, Auckland, New Zealand U19, New Zealand A, Otago, Delhi Capitals, Guyana Amazon Warriors, Kolkata Knight Riders, Derbyshire, Kent, Wellington, Trinbago Knight Riders, Edmonton Royals, Kings XI Punjab, New Zealand XI ",12,21,1,675,137,33.76,1069,66.32,2,0,4,88,11,63,59,10,2012,97,29.23,1314,97.87,0,0,6,115,30,18,16,4,323,42,16.82,131,141.22,0,0,0,19,8,4,4,0,91,22,14.0,46,91.3,0,0,0,3,1,1076,14,3/42,3/42,3.76,48.21,76.86,0,0,1967,61,5/31,5/31,6.14,32.98,32.25,1,0,226,13,3/16,3/16,8.58,24.85,17.38,0,0,54,1,1/29,1/29,10.11,91.0,54.0,0,0
Colin de Grandhomme," Jul 22, 1986 (34 years) ", -- , Batting Allrounder , Right Handed Bat , Right-arm fast-medium , 30 , 63 , 72 , 33 , 38 , -- ," New Zealand, Auckland, New Zealand A, Kolkata Knight Riders, Warwickshire, Royal Challengers Bangalore, New Zealand XI, Jamaica Tallawahs, Northern Knights, St Lucia Zouks ",24,45,4,1487,105,37.03,1450,81.72,1,0,8,116,37,42,42,7,1180,74,27.77,654,110.4,0,0,4,57,29,36,19,7,445,59,17.96,340,142.65,0,0,3,27,29,25,19,5,319,40,18.94,225,134.67,0,0,0,18,18,3683,47,6/41,7/64,2.42,31.64,78.36,1,0,1458,27,3/26,3/26,4.86,43.7,54.0,0,0,299,11,2/22,2/22,8.93,40.45,27.18,0,0,216,6,3/4,3/4,8.86,53.17,36.0,0,0
Colin Munro," Mar 11, 1987 (33 years) ", -- , Batting Allrounder , Left Handed Bat , Right-arm medium , -- , 80 , 4 , -- , -- , -- ," New Zealand, Auckland, New Zealand A, Worcestershire, Mumbai Indians, Kolkata Knight Riders, Trinbago Knight Riders, Sydney Sixers, Delhi Capitals, Hampshire, Balkh Legends, Karachi Kings, Brampton Wolves, New Zealand XI, Islamabad United ",1,1,0,40,15,7.5,26,57.69,0,0,0,3,0,57,25,2,481,87,24.92,1214,104.7,0,0,8,137,36,65,12,7,186,109,31.35,1102,156.44,3,0,11,132,107,13,2,0,15,40,14.75,141,125.53,0,0,0,19,8,108,2,2/40,2/40,2.22,20.0,54.0,0,0,552,7,2/10,2/10,5.23,68.71,78.86,0,0,118,4,1/12,1/12,9.46,46.5,29.5,0,0,12,0,0/7,0/7,7.5,0.0,0.0,0,0
Mitchell Santner," Feb 05, 1992 (28 years) ", -- , Bowling Allrounder , Left Handed Bat , Left-arm orthodox , 82 , 84 , -- , 60 , 32 , 6 ," New Zealand, Northern Knights, Worcestershire, Chennai Super Kings, New Zealand XI ",22,36,0,1744,126,25.55,1749,42.37,1,0,2,87,17,72,67,22,2661,67,27.18,1046,88.34,0,0,2,64,27,44,43,12,1096,37,14.1,227,124.23,0,0,0,23,7,4,4,1,94,22,32.0,23,139.13,0,0,0,0,3,3746,39,3/53,5/173,2.79,44.72,96.05,0,0,3259,71,5/50,5/50,4.9,37.48,45.9,1,0,893,52,4/11,4/11,7.36,21.08,17.17,0,0,84,4,2/13,2/13,6.71,23.5,21.0,0,0
Trent Boult," Jul 22, 1989 (31 years) ", -- , Bowler , Right Handed Bat , Left-arm fast-medium , -- , -- , -- , 9 , 1 , 60 ," New Zealand, New Zealand A, Northern Knights, Sunrisers Hyderabad, Kolkata Knight Riders, Delhi Capitals, Toronto Nationals, Mumbai Indians ",67,127,39,7384,52,15.21,1149,56.92,0,0,1,64,29,90,90,23,4148,21,9.35,213,74.65,0,0,0,15,6,27,27,3,854,8,4.4,32,68.75,0,0,0,1,0,33,33,3,1120,6,6.0,14,85.71,0,0,0,0,1,14874,267,6/30,10/80,2.98,27.66,55.71,8,1,4944,164,7/34,7/34,5.03,25.29,30.15,5,0,593,39,4/34,4/34,8.64,21.9,15.21,0,0,765,38,3/19,3/19,8.78,29.47,20.13,0,0
